,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependants,own_telephone,foreign_worker,class
4620,0<=X<200,6,existing paid,radio/tv,368,no known savings,>=7,4,male single,none,4,life insurance,38,stores,own,1,skilled,1,none,yes,good
4621,0<=X<200,20,delayed previously,used car,7057,no known savings,4<=X<7,3,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
4622,no checking,24,delayed previously,new car,717,no known savings,>=7,4,male mar/wid,none,4,car,54,stores,own,2,skilled,1,yes,yes,good
4623,0<=X<200,21,delayed previously,new car,2353,<100,1<=X<4,1,male div/sep,none,4,life insurance,47,stores,own,2,skilled,1,none,yes,good
4624,0<=X<200,24,delayed previously,business,6967,100<=X<500,4<=X<7,4,male single,none,4,car,36,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
4625,<0,12,existing paid,furniture/equipment,3590,<100,1<=X<4,2,male single,co applicant,2,life insurance,29,stores,own,1,unskilled resident,2,none,yes,good
4626,0<=X<200,18,existing paid,radio/tv,1113,<100,1<=X<4,4,female div/dep/mar,guarantor,4,real estate,26,stores,own,1,unskilled resident,2,none,yes,good
4627,0<=X<200,15,existing paid,repairs,1514,100<=X<500,1<=X<4,4,male single,guarantor,2,real estate,22,stores,own,1,skilled,1,none,yes,good
4628,<0,12,existing paid,furniture/equipment,2578,<100,unemployed,3,female div/dep/mar,none,4,no known property,55,stores,for free,1,high qualif/self emp/mgmt,1,none,yes,good
4629,no checking,42,critical/order existing credit,furniture/equipment,4042,500<=X<10000,1<=X<4,4,male single,none,4,real estate,36,stores,own,2,skilled,1,yes,yes,good
4630,>=200,30,critical/order existing credit,radio/tv,3656,no known savings,>=7,4,male single,none,4,life insurance,49,,own,2,unskilled resident,1,none,yes,good
4631,no checking,12,existing paid,radio/tv,3059,>=1000,4<=X<7,2,male div/sep,none,4,real estate,61,stores,own,1,unskilled resident,1,none,yes,good
4632,no checking,24,existing paid,radio/tv,999,no known savings,>=7,4,male single,none,2,car,25,stores,own,2,skilled,1,none,yes,good
4633,0<=X<200,24,delayed previously,new car,1965,no known savings,1<=X<4,4,female div/dep/mar,none,4,car,42,stores,rent,2,skilled,1,yes,yes,good
4634,no checking,12,critical/order existing credit,radio/tv,930,no known savings,>=7,4,male single,none,4,real estate,65,stores,own,4,skilled,1,none,yes,good
4635,no checking,10,critical/order existing credit,new car,1231,<100,>=7,3,male single,none,4,real estate,32,stores,own,2,unskilled resident,2,none,no,good
4636,no checking,12,critical/order existing credit,furniture/equipment,1258,<100,<1,2,female div/dep/mar,none,4,life insurance,22,stores,rent,2,unskilled resident,1,none,yes,good
4637,<0,30,critical/order existing credit,used car,10623,<100,>=7,3,male single,none,4,no known property,38,stores,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
4638,0<=X<200,9,critical/order existing credit,radio/tv,1154,<100,>=7,2,male single,none,4,real estate,37,stores,own,3,unskilled resident,1,none,yes,good
4639,<0,12,existing paid,furniture/equipment,1262,no known savings,>=7,2,male div/sep,none,4,life insurance,49,stores,own,1,unskilled resident,1,yes,yes,good
4640,no checking,12,existing paid,education,1393,<100,>=7,4,male single,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,good
4641,<0,12,existing paid,furniture/equipment,1289,<100,1<=X<4,4,male single,guarantor,1,life insurance,21,stores,own,1,unskilled resident,1,none,yes,good
4642,no checking,24,critical/order existing credit,business,4526,<100,1<=X<4,3,male single,none,2,real estate,74,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
4643,no checking,60,existing paid,new car,6527,no known savings,1<=X<4,4,male single,none,4,no known property,34,stores,for free,1,skilled,2,yes,yes,good
4644,no checking,12,existing paid,radio/tv,2279,no known savings,1<=X<4,4,male single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,good
4645,0<=X<200,10,existing paid,new car,7308,<100,unemployed,2,male single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
4646,no checking,24,existing paid,radio/tv,1552,<100,4<=X<7,3,male single,none,1,car,32,bank,own,1,skilled,2,none,yes,good
4647,no checking,12,existing paid,new car,1101,<100,1<=X<4,3,male mar/wid,none,2,real estate,27,stores,own,2,skilled,1,yes,yes,good
4648,0<=X<200,7,existing paid,radio/tv,2576,<100,1<=X<4,2,male single,guarantor,2,real estate,35,stores,own,1,skilled,1,none,yes,good
4649,no checking,24,delayed previously,new car,2032,<100,>=7,4,male single,none,4,no known property,60,stores,for free,2,skilled,1,yes,yes,good
4650,>=200,42,no credits/all paid,business,6289,<100,<1,2,male div/sep,none,1,life insurance,33,stores,own,2,skilled,1,none,yes,good
4651,no checking,18,critical/order existing credit,radio/tv,1169,no known savings,1<=X<4,4,male single,none,3,life insurance,29,stores,own,2,skilled,1,yes,yes,good
4652,no checking,42,critical/order existing credit,furniture/equipment,4042,500<=X<10000,1<=X<4,4,male single,none,4,real estate,36,stores,own,2,skilled,1,yes,yes,good
4653,no checking,15,critical/order existing credit,used car,3368,>=1000,>=7,3,male single,none,4,no known property,23,stores,rent,2,skilled,1,yes,yes,good
4654,0<=X<200,24,existing paid,radio/tv,2896,100<=X<500,<1,2,male single,none,1,car,29,stores,own,1,skilled,1,none,yes,good
4655,0<=X<200,12,existing paid,radio/tv,1158,500<=X<10000,1<=X<4,3,male div/sep,none,1,car,26,stores,own,1,skilled,1,yes,yes,good
4656,no checking,24,existing paid,radio/tv,3105,no known savings,<1,4,male single,none,2,car,25,stores,own,2,skilled,1,none,yes,good
4657,no checking,15,critical/order existing credit,radio/tv,1829,<100,>=7,4,male single,none,4,car,46,stores,own,2,skilled,1,yes,yes,good
4658,<0,6,critical/order existing credit,new car,3676,<100,1<=X<4,1,male single,none,3,real estate,37,stores,rent,3,skilled,2,none,yes,good
4659,<0,6,existing paid,new car,1203,100<=X<500,>=7,3,male single,none,2,life insurance,43,stores,own,1,skilled,1,yes,yes,good
4660,no checking,6,existing paid,retraining,1238,no known savings,unemployed,4,male single,none,4,life insurance,36,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
4661,0<=X<200,15,existing paid,radio/tv,1444,no known savings,<1,4,male single,none,1,life insurance,23,stores,own,1,skilled,1,none,yes,good
4662,no checking,18,critical/order existing credit,furniture/equipment,3780,<100,<1,3,male div/sep,none,2,car,35,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
4663,0<=X<200,20,delayed previously,used car,7057,no known savings,4<=X<7,3,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,good
4664,no checking,24,existing paid,furniture/equipment,3062,500<=X<10000,>=7,4,male single,none,3,no known property,32,stores,rent,1,skilled,1,yes,yes,good
4665,<0,12,existing paid,new car,1893,<100,1<=X<4,4,female div/dep/mar,guarantor,4,life insurance,29,stores,own,1,skilled,1,yes,yes,good
4666,no checking,36,critical/order existing credit,radio/tv,3342,no known savings,>=7,4,male single,none,2,car,51,stores,own,1,skilled,1,yes,yes,good
4667,<0,21,existing paid,radio/tv,3357,>=1000,<1,4,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,good
4668,0<=X<200,18,existing paid,radio/tv,1301,<100,>=7,4,male mar/wid,guarantor,2,real estate,32,stores,own,1,unskilled resident,1,none,yes,good
4669,0<=X<200,15,existing paid,repairs,1308,<100,>=7,4,male single,none,4,car,38,stores,own,2,unskilled resident,1,none,yes,good
4670,<0,24,existing paid,used car,2910,<100,4<=X<7,2,male single,none,1,no known property,34,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
4671,0<=X<200,18,critical/order existing credit,radio/tv,1795,<100,>=7,3,female div/dep/mar,guarantor,4,real estate,48,bank,rent,2,unskilled resident,1,yes,yes,good
4672,>=200,12,delayed previously,new car,2247,<100,1<=X<4,2,female div/dep/mar,none,2,car,36,,own,2,skilled,1,yes,yes,good
4673,no checking,15,existing paid,domestic appliance,1262,500<=X<10000,4<=X<7,4,male single,none,3,life insurance,36,stores,own,2,skilled,1,yes,yes,good
4674,0<=X<200,10,existing paid,furniture/equipment,1521,<100,1<=X<4,4,male div/sep,none,2,car,31,stores,own,1,unskilled resident,1,none,yes,good
4675,no checking,24,critical/order existing credit,radio/tv,2223,100<=X<500,>=7,4,male single,none,4,life insurance,52,bank,own,2,skilled,1,none,yes,good
4676,0<=X<200,15,existing paid,repairs,2631,100<=X<500,1<=X<4,3,female div/dep/mar,none,2,real estate,25,stores,own,1,unskilled resident,1,none,yes,good
4677,no checking,6,critical/order existing credit,radio/tv,1898,no known savings,1<=X<4,1,male single,none,2,real estate,34,stores,own,2,unskilled resident,2,none,yes,good
4678,no checking,15,existing paid,domestic appliance,1262,500<=X<10000,4<=X<7,4,male single,none,3,life insurance,36,stores,own,2,skilled,1,yes,yes,good
4679,0<=X<200,12,no credits/all paid,retraining,1410,<100,1<=X<4,2,male single,none,2,real estate,31,stores,own,1,unskilled resident,1,yes,yes,good
4680,0<=X<200,18,existing paid,radio/tv,866,<100,1<=X<4,4,male mar/wid,guarantor,2,real estate,25,stores,own,1,unskilled resident,1,none,yes,good
4681,no checking,18,critical/order existing credit,new car,1055,<100,<1,4,female div/dep/mar,none,1,life insurance,30,stores,own,2,skilled,1,none,yes,good
4682,no checking,36,existing paid,radio/tv,2299,500<=X<10000,>=7,4,male single,none,4,car,39,stores,own,1,skilled,1,none,yes,good
4683,<0,12,existing paid,radio/tv,1680,500<=X<10000,>=7,3,male mar/wid,none,1,real estate,35,stores,own,1,skilled,1,none,yes,good
4684,no checking,18,critical/order existing credit,furniture/equipment,1817,<100,1<=X<4,4,female div/dep/mar,none,2,no known property,28,stores,own,2,skilled,1,none,yes,good
4685,no checking,18,critical/order existing credit,radio/tv,2404,<100,1<=X<4,2,female div/dep/mar,none,2,car,26,stores,own,2,skilled,1,none,yes,good
4686,no checking,39,existing paid,used car,8588,100<=X<500,>=7,4,male single,none,2,car,45,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
4687,0<=X<200,36,existing paid,radio/tv,2323,<100,4<=X<7,4,male single,none,4,car,24,stores,rent,1,skilled,1,none,yes,good
4688,no checking,54,no credits/all paid,used car,9436,no known savings,1<=X<4,2,male single,none,2,life insurance,39,stores,own,1,unskilled resident,2,none,yes,good
4689,<0,24,all paid,used car,3632,<100,1<=X<4,1,female div/dep/mar,guarantor,4,car,22,bank,rent,1,skilled,1,none,no,good
4690,<0,21,existing paid,new car,3763,no known savings,4<=X<7,2,male single,co applicant,2,real estate,24,stores,own,1,unskilled resident,1,none,no,good
4691,no checking,18,critical/order existing credit,radio/tv,629,500<=X<10000,>=7,4,male single,none,3,life insurance,32,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
4692,0<=X<200,48,all paid,business,3566,100<=X<500,4<=X<7,4,male single,none,2,car,30,stores,own,1,skilled,1,none,yes,good
4693,no checking,30,delayed previously,business,4272,100<=X<500,1<=X<4,2,male single,none,2,life insurance,26,stores,own,2,unskilled resident,1,none,yes,good
4694,no checking,12,critical/order existing credit,radio/tv,618,<100,>=7,4,male single,none,4,real estate,56,stores,own,1,skilled,1,none,yes,good
4695,<0,12,critical/order existing credit,used car,1409,<100,>=7,4,male single,none,3,real estate,54,stores,own,1,skilled,1,none,yes,good
4696,no checking,15,existing paid,used car,4657,<100,1<=X<4,3,male single,none,2,car,30,stores,own,1,skilled,1,yes,yes,good
4697,no checking,6,existing paid,used car,1236,500<=X<10000,1<=X<4,2,male single,none,4,life insurance,50,stores,rent,1,skilled,1,none,yes,good
4698,no checking,21,existing paid,new car,2782,500<=X<10000,4<=X<7,1,female div/dep/mar,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
4699,0<=X<200,6,existing paid,repairs,454,<100,<1,3,male mar/wid,none,1,life insurance,22,stores,own,1,unskilled resident,1,none,yes,good
4700,<0,36,existing paid,used car,5493,<100,>=7,2,male single,none,4,no known property,42,stores,for free,1,skilled,2,none,yes,good
4701,no checking,24,existing paid,used car,3488,100<=X<500,4<=X<7,3,female div/dep/mar,none,4,car,23,stores,own,1,skilled,1,none,yes,good
4702,no checking,24,delayed previously,used car,4679,<100,4<=X<7,3,male single,none,3,car,35,stores,own,2,unskilled resident,1,yes,yes,good
4703,no checking,24,existing paid,used car,6313,no known savings,>=7,3,male single,none,4,car,41,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
4704,no checking,12,existing paid,radio/tv,3077,<100,1<=X<4,2,male single,none,4,car,52,stores,own,1,skilled,1,yes,yes,good
4705,no checking,9,existing paid,furniture/equipment,1388,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,26,stores,rent,1,skilled,1,none,yes,good
4706,0<=X<200,48,all paid,business,3566,100<=X<500,4<=X<7,4,male single,none,2,car,30,stores,own,1,skilled,1,none,yes,good
4707,0<=X<200,18,critical/order existing credit,radio/tv,1795,<100,>=7,3,female div/dep/mar,guarantor,4,real estate,48,bank,rent,2,unskilled resident,1,yes,yes,good
4708,no checking,15,existing paid,new car,5324,500<=X<10000,>=7,1,female div/dep/mar,none,4,no known property,35,stores,for free,1,skilled,1,none,yes,good
4709,no checking,48,delayed previously,radio/tv,7238,no known savings,>=7,3,male single,none,3,car,32,bank,own,2,skilled,2,none,yes,good
4710,no checking,4,critical/order existing credit,radio/tv,1503,<100,4<=X<7,2,male single,none,1,real estate,42,stores,own,2,unskilled resident,2,none,yes,good
4711,no checking,15,critical/order existing credit,new car,5045,no known savings,>=7,1,female div/dep/mar,none,4,car,59,stores,own,1,skilled,1,yes,yes,good
4712,0<=X<200,24,existing paid,radio/tv,1967,<100,>=7,4,female div/dep/mar,none,4,car,20,stores,own,1,skilled,1,yes,yes,good
4713,0<=X<200,16,critical/order existing credit,new car,1175,<100,unemployed,2,male single,none,3,car,68,stores,for free,3,unemp/unskilled non res,1,yes,yes,good
4714,no checking,6,critical/order existing credit,radio/tv,1237,100<=X<500,1<=X<4,1,female div/dep/mar,none,1,life insurance,27,stores,own,2,skilled,1,none,yes,good
4715,0<=X<200,9,existing paid,radio/tv,2118,<100,1<=X<4,2,male single,none,2,real estate,37,stores,own,1,unskilled resident,2,none,yes,good
4716,0<=X<200,36,existing paid,education,2273,<100,4<=X<7,3,male single,none,1,car,32,stores,own,2,skilled,2,none,yes,good
4717,<0,18,existing paid,radio/tv,2389,<100,<1,4,female div/dep/mar,none,1,car,27,,own,1,skilled,1,none,yes,good
4718,no checking,18,existing paid,radio/tv,1126,no known savings,<1,4,female div/dep/mar,none,2,real estate,21,stores,rent,1,skilled,1,yes,yes,good
4719,<0,12,existing paid,radio/tv,1107,<100,1<=X<4,2,male single,none,2,real estate,20,stores,rent,1,high qualif/self emp/mgmt,2,yes,yes,good
4720,<0,12,existing paid,new car,3651,>=1000,1<=X<4,1,male single,none,3,life insurance,31,stores,own,1,skilled,2,none,yes,good
4721,no checking,12,critical/order existing credit,new car,682,100<=X<500,4<=X<7,4,female div/dep/mar,none,3,car,51,stores,own,2,skilled,1,yes,yes,good
4722,0<=X<200,16,critical/order existing credit,new car,1175,<100,unemployed,2,male single,none,3,car,68,stores,for free,3,unemp/unskilled non res,1,yes,yes,good
4723,no checking,12,existing paid,new car,640,<100,1<=X<4,4,male div/sep,none,2,real estate,49,stores,own,1,unskilled resident,1,none,yes,good
4724,no checking,6,critical/order existing credit,new car,250,>=1000,1<=X<4,2,female div/dep/mar,none,2,real estate,41,bank,own,2,unskilled resident,1,none,yes,good
4725,no checking,7,delayed previously,radio/tv,846,no known savings,>=7,3,male single,none,4,no known property,36,stores,for free,1,skilled,1,none,yes,good
4726,no checking,18,existing paid,furniture/equipment,1984,<100,1<=X<4,4,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,good
4727,>=200,12,existing paid,radio/tv,1881,<100,1<=X<4,2,female div/dep/mar,none,2,car,44,stores,rent,1,unskilled resident,1,yes,yes,good
4728,<0,24,critical/order existing credit,used car,6419,<100,>=7,2,female div/dep/mar,none,4,no known property,44,stores,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
4729,no checking,12,existing paid,new car,2859,no known savings,unemployed,4,male single,none,4,no known property,38,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
4730,no checking,15,existing paid,used car,4657,<100,1<=X<4,3,male single,none,2,car,30,stores,own,1,skilled,1,yes,yes,good
4731,0<=X<200,10,all paid,radio/tv,1048,<100,1<=X<4,4,male single,none,4,real estate,23,,own,1,unskilled resident,1,none,yes,good
4732,no checking,18,existing paid,new car,1820,<100,1<=X<4,2,male mar/wid,none,2,life insurance,30,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
4733,<0,18,existing paid,new car,4380,100<=X<500,1<=X<4,3,male single,none,4,car,35,stores,own,1,unskilled resident,2,yes,yes,good
4734,no checking,24,critical/order existing credit,used car,6842,no known savings,1<=X<4,2,male single,none,4,life insurance,46,stores,own,2,high qualif/self emp/mgmt,2,yes,yes,good
4735,0<=X<200,11,critical/order existing credit,new car,1322,>=1000,1<=X<4,4,female div/dep/mar,none,4,car,40,stores,own,2,skilled,1,none,yes,good
4736,no checking,24,delayed previously,business,2978,no known savings,1<=X<4,4,male single,none,4,real estate,32,stores,own,2,skilled,2,yes,yes,good
4737,no checking,10,existing paid,new car,1546,<100,1<=X<4,3,male single,none,2,real estate,31,stores,own,1,unskilled resident,2,none,no,good
4738,<0,10,existing paid,radio/tv,2315,<100,>=7,3,male single,none,4,real estate,52,stores,own,1,unskilled resident,1,none,yes,good
4739,no checking,24,critical/order existing credit,used car,3868,<100,>=7,4,female div/dep/mar,none,2,car,41,stores,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
4740,0<=X<200,24,critical/order existing credit,used car,7758,>=1000,>=7,2,female div/dep/mar,none,4,no known property,29,stores,rent,1,skilled,1,none,yes,good
4741,0<=X<200,18,existing paid,furniture/equipment,3001,<100,4<=X<7,2,female div/dep/mar,none,4,real estate,40,stores,rent,1,skilled,1,none,yes,good
4742,>=200,21,existing paid,new car,2923,100<=X<500,1<=X<4,1,female div/dep/mar,none,1,car,28,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
4743,no checking,12,critical/order existing credit,furniture/equipment,1258,<100,<1,2,female div/dep/mar,none,4,life insurance,22,stores,rent,2,unskilled resident,1,none,yes,good
4744,0<=X<200,18,no credits/all paid,furniture/equipment,3244,<100,1<=X<4,1,female div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
4745,0<=X<200,24,critical/order existing credit,education,5743,<100,<1,2,female div/dep/mar,none,4,no known property,24,stores,for free,2,skilled,1,yes,yes,good
4746,no checking,4,critical/order existing credit,new car,1455,<100,4<=X<7,2,male single,none,1,real estate,42,stores,own,3,unskilled resident,2,none,yes,good
4747,no checking,24,existing paid,radio/tv,1552,<100,4<=X<7,3,male single,none,1,car,32,bank,own,1,skilled,2,none,yes,good
4748,<0,6,critical/order existing credit,new car,4716,no known savings,<1,1,male single,none,3,real estate,44,stores,own,2,unskilled resident,2,none,yes,good
4749,no checking,15,delayed previously,radio/tv,1478,<100,1<=X<4,4,male mar/wid,none,3,real estate,33,bank,own,2,skilled,1,none,yes,good
4750,<0,18,existing paid,new car,4380,100<=X<500,1<=X<4,3,male single,none,4,car,35,stores,own,1,unskilled resident,2,yes,yes,good
4751,0<=X<200,9,existing paid,furniture/equipment,2030,no known savings,4<=X<7,2,male single,none,1,car,24,stores,own,1,skilled,1,yes,yes,good
4752,>=200,12,all paid,radio/tv,409,>=1000,1<=X<4,3,female div/dep/mar,none,3,real estate,42,stores,rent,2,skilled,1,none,yes,good
4753,no checking,9,existing paid,furniture/equipment,2301,100<=X<500,<1,2,female div/dep/mar,none,4,life insurance,22,stores,rent,1,skilled,1,none,yes,good
4754,<0,13,critical/order existing credit,business,1797,<100,<1,3,male single,none,1,life insurance,28,bank,own,2,unskilled resident,1,none,yes,good
4755,no checking,24,delayed previously,business,2375,500<=X<10000,1<=X<4,4,male single,none,2,car,44,stores,own,2,skilled,2,yes,yes,good
4756,0<=X<200,12,existing paid,business,841,100<=X<500,4<=X<7,2,female div/dep/mar,none,4,real estate,23,stores,rent,1,unskilled resident,1,none,yes,good
4757,no checking,12,critical/order existing credit,new car,1495,<100,>=7,4,male single,none,1,real estate,38,stores,own,2,unskilled resident,2,none,yes,good
4758,<0,12,existing paid,new car,1893,<100,1<=X<4,4,female div/dep/mar,guarantor,4,life insurance,29,stores,own,1,skilled,1,yes,yes,good
4759,<0,18,delayed previously,education,8471,no known savings,1<=X<4,1,female div/dep/mar,none,2,car,23,stores,rent,2,skilled,1,yes,yes,good
4760,no checking,18,critical/order existing credit,radio/tv,1098,<100,unemployed,4,female div/dep/mar,none,4,car,65,stores,own,2,unemp/unskilled non res,1,none,yes,good
4761,no checking,24,delayed previously,business,2375,500<=X<10000,1<=X<4,4,male single,none,2,car,44,stores,own,2,skilled,2,yes,yes,good
4762,<0,36,existing paid,furniture/equipment,3959,<100,unemployed,4,male single,none,3,life insurance,30,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
4763,>=200,24,existing paid,furniture/equipment,3749,<100,<1,2,female div/dep/mar,none,4,car,26,stores,own,1,skilled,1,none,yes,good
4764,no checking,27,delayed previously,used car,8613,>=1000,1<=X<4,2,male single,none,2,car,27,stores,own,2,skilled,1,none,yes,good
4765,no checking,24,critical/order existing credit,radio/tv,2611,<100,>=7,4,male mar/wid,co applicant,3,real estate,46,stores,own,2,skilled,1,none,yes,good
4766,no checking,12,existing paid,new car,2133,no known savings,>=7,4,female div/dep/mar,none,4,no known property,52,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
4767,no checking,48,critical/order existing credit,business,7629,no known savings,>=7,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good
4768,no checking,30,critical/order existing credit,radio/tv,5954,<100,4<=X<7,3,male single,co applicant,2,car,38,stores,own,1,skilled,1,none,yes,good
4769,0<=X<200,12,critical/order existing credit,new car,1995,100<=X<500,<1,4,male single,none,1,car,27,stores,own,1,skilled,1,none,yes,good
4770,0<=X<200,9,existing paid,radio/tv,2118,<100,1<=X<4,2,male single,none,2,real estate,37,stores,own,1,unskilled resident,2,none,yes,good
4771,>=200,30,critical/order existing credit,radio/tv,3017,<100,>=7,4,male single,none,4,life insurance,47,stores,own,1,skilled,1,none,yes,good
4772,0<=X<200,24,critical/order existing credit,radio/tv,1743,<100,>=7,4,male single,none,2,life insurance,48,stores,own,2,unskilled resident,1,none,yes,good
4773,<0,24,existing paid,furniture/equipment,7721,no known savings,<1,1,female div/dep/mar,none,2,life insurance,30,stores,own,1,skilled,1,yes,no,good
4774,<0,18,existing paid,radio/tv,2389,<100,<1,4,female div/dep/mar,none,1,car,27,,own,1,skilled,1,none,yes,good
4775,<0,15,critical/order existing credit,furniture/equipment,1433,<100,1<=X<4,4,female div/dep/mar,none,3,life insurance,25,stores,rent,2,skilled,1,none,yes,good
4776,<0,36,existing paid,used car,5493,<100,>=7,2,male single,none,4,no known property,42,stores,for free,1,skilled,2,none,yes,good
4777,no checking,12,existing paid,radio/tv,707,<100,1<=X<4,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,good
4778,no checking,24,existing paid,radio/tv,3181,<100,<1,4,female div/dep/mar,none,4,life insurance,26,stores,own,1,skilled,1,yes,yes,good
4779,>=200,24,critical/order existing credit,business,1275,>=1000,1<=X<4,2,male div/sep,none,4,real estate,36,stores,own,2,skilled,1,yes,yes,good
4780,no checking,12,no credits/all paid,furniture/equipment,2759,<100,>=7,2,male single,none,4,life insurance,34,stores,own,2,skilled,1,none,yes,good
4781,>=200,36,existing paid,radio/tv,5848,<100,1<=X<4,4,male single,none,1,car,24,stores,own,1,skilled,1,none,yes,good
4782,0<=X<200,12,existing paid,furniture/equipment,3017,<100,<1,3,female div/dep/mar,none,1,real estate,34,stores,rent,1,high qualif/self emp/mgmt,1,none,yes,good
4783,no checking,12,critical/order existing credit,new car,1495,<100,>=7,4,male single,none,1,real estate,38,stores,own,2,unskilled resident,2,none,yes,good
4784,<0,36,existing paid,other,15857,<100,unemployed,2,male div/sep,co applicant,3,car,43,stores,own,1,high qualif/self emp/mgmt,1,none,yes,good
4785,0<=X<200,20,delayed previously,other,2629,<100,1<=X<4,2,male single,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
4786,0<=X<200,15,existing paid,radio/tv,1444,no known savings,<1,4,male single,none,1,life insurance,23,stores,own,1,skilled,1,none,yes,good
4787,no checking,9,critical/order existing credit,new car,2134,<100,1<=X<4,4,male single,none,4,car,48,stores,own,3,skilled,1,yes,yes,good
4788,>=200,24,existing paid,radio/tv,1377,100<=X<500,>=7,4,female div/dep/mar,none,2,no known property,47,stores,for free,1,skilled,1,yes,yes,good
4789,<0,6,critical/order existing credit,radio/tv,1957,<100,4<=X<7,1,female div/dep/mar,none,4,car,31,stores,own,1,skilled,1,none,yes,good
4790,no checking,6,existing paid,radio/tv,1346,100<=X<500,>=7,2,male single,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes,good
4791,>=200,10,critical/order existing credit,radio/tv,1347,no known savings,4<=X<7,4,male single,none,2,life insurance,27,stores,own,2,skilled,1,yes,yes,good
4792,0<=X<200,18,existing paid,business,1913,>=1000,<1,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,good
4793,0<=X<200,12,critical/order existing credit,radio/tv,3573,<100,1<=X<4,1,female div/dep/mar,none,1,real estate,23,stores,own,1,unskilled resident,1,none,yes,good
4794,0<=X<200,6,existing paid,radio/tv,753,<100,1<=X<4,2,female div/dep/mar,guarantor,3,real estate,64,stores,own,1,skilled,1,none,yes,good
4795,0<=X<200,12,existing paid,new car,7472,no known savings,unemployed,1,female div/dep/mar,none,2,real estate,24,stores,rent,1,unemp/unskilled non res,1,none,yes,good
4796,<0,42,critical/order existing credit,repairs,3394,<100,unemployed,4,male single,co applicant,4,car,65,stores,own,2,unemp/unskilled non res,1,none,yes,good
4797,0<=X<200,10,existing paid,new car,7308,<100,unemployed,2,male single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
4798,>=200,12,existing paid,new car,1330,<100,<1,4,male single,none,1,real estate,26,stores,own,1,skilled,1,none,yes,good
4799,no checking,15,critical/order existing credit,used car,3368,>=1000,>=7,3,male single,none,4,no known property,23,stores,rent,2,skilled,1,yes,yes,good
4800,no checking,36,critical/order existing credit,business,6304,no known savings,>=7,4,male single,none,4,real estate,36,stores,own,2,skilled,1,none,yes,good
4801,no checking,30,critical/order existing credit,radio/tv,2831,<100,1<=X<4,4,female div/dep/mar,none,2,car,33,stores,own,1,skilled,1,yes,yes,good
4802,no checking,12,existing paid,new car,2859,no known savings,unemployed,4,male single,none,4,no known property,38,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
4803,0<=X<200,18,existing paid,repairs,3872,<100,unemployed,2,female div/dep/mar,none,4,car,67,stores,own,1,skilled,1,yes,yes,good
4804,no checking,12,existing paid,new car,2390,no known savings,>=7,4,male single,none,3,car,50,stores,own,1,skilled,1,yes,yes,good
4805,<0,36,existing paid,new car,3249,<100,4<=X<7,2,male single,none,4,no known property,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
4806,<0,12,critical/order existing credit,used car,1526,<100,>=7,4,male single,none,4,no known property,66,stores,for free,2,high qualif/self emp/mgmt,1,none,yes,good
4807,no checking,36,critical/order existing credit,used car,5842,<100,>=7,2,male single,none,2,life insurance,35,stores,own,2,skilled,2,yes,yes,good
4808,no checking,12,existing paid,radio/tv,707,<100,1<=X<4,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,good
